ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,access_raw,access_z,iso_index_with_access,station_count,area_km2,station_density,transit_z,neg_access_z,neg_transit_z,iri_designed,iri_pca,iri_designed_100,iri_pca_100,iso_index_100,transit_z_100
13101,千代田区,5.30652,5.1339,3.4077,tokyo,-1.9790898134303176,-1.05095091298365,-0.5102640733806786,-1.260000421281426,10,-0.6244300186410524,-1.0726714156891102,68.0,17.4833348533171,3.889418155661442,4.333210858149165,0.6244300186410524,-4.333210858149165,-1.4158801222058446,-1.7849473415626778,0.0,0.0,0.8964252082476202,100.0
13102,中央区,7.3328,4.8124,7.8831,tokyo,0.9281667769043712,-1.4357999461167947,0.7342477093845778,0.1608010397420833,12,-0.1892212177700159,0.217567405073088,42.0,15.486529776629354,2.712034303732912,2.8148097824544736,0.1892212177700159,-2.8148097824544736,-0.3738970351288589,-0.2733959090774119,39.27552144855097,40.16215441980714,48.18802661532794,70.3004007014562
13103,港区,7.01052,5.3923,6.2777,tokyo,0.465767378038931,-0.7416352359646619,0.2878207495482856,0.0501626052906595,20,1.55161398571413,-0.4153215904235794,46.0,27.636009960669725,1.6644949855447673,1.4638613853246676,-1.55161398571413,-1.4638613853246676,-0.4637241202275952,-0.5005283435371737,35.88966456544825,34.127210645832314,44.50540882113527,43.876139872077836
13104,新宿区,7.29263,6.2212,4.1031,tokyo,0.8705318512111085,0.2505929555254286,-0.316888398863326,0.3283241074830743,18,1.1164051848430934,-0.0065974479698537,51.0,27.694227128734383,1.8415390241052985,1.6921844238607535,-1.1164051848430934,-1.6921844238607535,-0.2043849193941079,-0.181380886766653,45.664950240534395,42.607007737772356,53.764058427957934,48.34208952378318
13105,文京区,5.64607,5.0428,1.1411,tokyo,-1.491911844320351,-1.1600014477221556,-1.1405564286596996,-1.286932100642697,9,-0.8420344190765706,-1.034321774919726,19.0,17.15805502645746,1.1073516182750485,0.745347124412368,0.8420344190765706,-0.745347124412368,-0.8765865145429362,-1.0565169382080282,20.32762135731868,19.354508033848862,0.0,29.822155071242882
13106,台東区,7.4656,7.6597,1.1103,tokyo,1.1187049430000973,1.972538007351337,-1.1491212413935716,0.6945070069873684,8,-1.059638819512089,1.0123986528409952,31.0,15.363628443400025,2.0177525194783734,1.919436360846416,1.059638819512089,-1.919436360846416,0.4140168581089952,0.6738762349443994,68.97439986344432,65.33132121635715,65.9525141696708,52.78708865894528
13107,墨田区,6.80022,6.4884,7.3333,tokyo,0.164034122542463,0.570442602969213,0.581360240518256,0.4111545020632259,7,-1.2772432199476071,0.7943274680475081,21.0,20.934679191017324,1.0031202202043157,0.6109261650179209,1.2772432199476071,-0.6109261650179209,0.3998387877210231,0.7989343379845704,68.43998513586561,68.65413427968072,56.52108121568359,27.192909942768257
13108,江東区,7.28346,6.0916,14.3249,tokyo,0.857374961278143,0.0954563001784438,2.5255727311071565,1.1292586938969371,11,-0.4068256182055341,1.2513063793585977,4.0,-53.411154787408094,-0.0748907230319427,-0.7793196525541937,0.4068256182055341,0.7793196525541937,0.9212441521995371,1.618576113515369,88.09334403386121,90.4321425236137,80.42329284804585,0.0
13109,品川区,6.76887,5.5466,3.887,tokyo,0.1190539154106775,-0.5569316409026266,-0.3769811271681864,-0.2325522642569729,13,0.0283831826655023,-0.2410672190566236,40.0,19.051416673985827,2.099581395152565,2.0249661357308453,-0.0283831826655023,-2.0249661357308453,-0.4928680545660767,-0.5280438765878199,34.79114076750716,33.39611869383277,35.09519966153186,54.851228416419524
13110,目黒区,5.58721,5.3538,1.4882,tokyo,-1.5763627212510318,-0.7877213565731411,-1.0440354384023325,-1.1800721269930547,14,0.2459875831010205,-1.2538684019233608,10.0,22.26065322157927,0.4492231158026438,-0.1034015860974619,-0.2459875831010205,0.1034015860974619,-0.8212160066870435,-1.0201407763541932,22.4147047235294,20.321028258153472,3.556851128636593,13.220812375430537
13111,大田区,6.48044,5.7699,3.2276,tokyo,-0.2947783379552118,-0.2896321413734466,-0.5603459816069876,-0.372904772076215,16,0.681196383972057,-0.5772636872678321,49.0,74.46188008733708,0.6580548321171505,0.1659161068297245,-0.681196383972057,-0.1659161068297245,-0.3852386897738293,-0.4146865504099742,38.84801988370293,36.40804031338736,30.42354423439692,18.488608672457133
13112,世田谷区,5.43306,5.7875,3.1373,tokyo,-1.7975333410074776,-0.2685642005238562,-0.5854564553040207,-0.975219533151354,25,2.639635987891721,-1.76711032951887,44.0,88.08830214870976,0.4994987861807082,-0.0385640805904145,-2.639635987891721,0.0385640805904145,-1.0237764625388337,-1.37397395384391,14.779583168195126,10.919626223273292,10.375402123220578,14.489020073581317
13113,渋谷区,6.64832,5.1144,2.1056,tokyo,-0.0539082526829945,-1.0742932338113214,-0.872349874055175,-0.6055562334331467,19,1.3340095852786116,-1.0057591090167302,37.0,22.943831161298963,1.6126339031996804,1.396979269445053,-1.3340095852786116,-1.396979269445053,-0.8661686746431636,-1.1133321331920798,20.72030152603322,17.844919550584876,22.679703536667855,42.56794003366918
13114,中野区,7.30313,5.9707,2.3986,tokyo,0.885596992355726,-0.0492660889531181,-0.7908729217491866,0.102197093731599,15,0.4635919835365387,-0.0368805013293625,18.0,23.7038090095134,0.7593716264240822,0.2965782772082268,-0.4635919835365387,-0.2965782772082268,-0.0631173976109001,0.0198618027693869,50.98975411748071,47.954057000737166,46.2373850009722,21.044332694151556
13115,杉並区,5.69355,5.575,1.5394,tokyo,-1.4237887108397405,-0.5229356454407867,-1.0297978276239483,-1.0353355262553166,17,0.8988007844075753,-1.3049757615775892,23.0,51.746995630225264,0.4444702483667626,-0.1095310731083934,-0.8988007844075753,0.1095310731083934,-0.8110311112897989,-1.0352147695537597,22.798604503273307,19.9205099366507,8.37443178214606,13.100920924453392
13116,豊島区,6.94668,6.9758,1.4908,tokyo,0.3741713198796607,1.1538809194516226,-1.043312434729993,0.1828390733683532,12,-0.1892212177700159,0.2396054386993579,34.0,19.788801675097456,1.71814345093903,1.533048581522907,0.1892212177700159,-1.533048581522907,-0.0282235316761113,0.0518282561954734,52.30501037925858,48.803410592788744,48.9215660510902,45.22942658701073
13117,北区,7.45026,7.9088,12.4051,tokyo,1.0966954891754854,2.270721192898667,1.991717942584848,1.7174099363152486,11,-0.4068256182055341,1.839457621776909,27.0,31.368967882701977,0.8607232504735615,0.4272853654089533,0.4068256182055341,-0.4272853654089533,1.237128796954995,1.9786740435983745,100.0,100.00000000000001,100.0,23.600935298812477
13118,荒川区,7.0225,7.1012,5.4953,tokyo,0.4829559866972657,1.303989998004956,0.0702522598411004,0.6054550720327233,8,-1.059638819512089,0.92334671788635,32.0,15.448497306566797,2.071398878802118,1.988620840972293,1.059638819512089,-1.988620840972293,0.3214396449247449,0.6329266878070288,65.48488226266923,64.24328544052636,62.98840642630565,54.14032224808543
13119,板橋区,7.52657,6.621,7.4789,tokyo,1.2061831959131728,0.7291703845973782,0.6218484461692863,0.8877789275952686,10,-0.6244300186410524,1.0751079331875844,22.0,49.05519070520193,0.4484744567034588,-0.1043670866686385,0.6244300186410524,0.1043670866686385,0.7175276501579486,1.2146287568745635,80.41464757075153,79.69919902846136,72.38560062355533,13.20192739138682
13120,練馬区,6.00117,5.2648,5.1618,tokyo,-0.9824231185628798,-0.89425810291482,-0.0224868650532582,-0.6679927378155754,14,0.2459875831010205,-0.7417890127458816,27.0,73.15345947462693,0.3690871244355145,-0.2067481500021755,-0.2459875831010205,0.2067481500021755,-0.4795535933449033,-0.4828914161998091,35.29300343087825,34.59582652220347,20.60149461057471,11.19937575635605
13121,足立区,6.99676,6.6174,10.6453,tokyo,0.446024869262748,0.7248610330599613,1.502355687744991,0.8465749639465849,9,-0.8420344190765706,1.0991852896695562,31.0,81.07259709232467,0.3823733432974585,-0.1896137133621226,0.8420344190765706,0.1896137133621226,0.7479398329954795,1.3195749736308588,81.56097552381208,82.48763617493071,71.01412017486433,11.534521661190867
13122,葛飾区,6.83942,6.5199,7.4207,tokyo,0.2202773161490315,0.6081494289216045,0.6056642870422947,0.4522550412487823,8,-1.059638819512089,0.770146687102409,19.0,53.0733097677368,0.3579953856872532,-0.2210524977466245,1.059638819512089,0.2210524977466245,0.520343241264925,0.9605423592142216,72.98216562661263,72.94808429991464,57.88911916475721,10.919585783181278
13123,江戸川区,6.93977,5.3036,7.1185,tokyo,0.3642570222311563,-0.8478128696782224,0.5216290140495654,0.0478476522038654,10,-0.6244300186410524,0.2351766577961811,0.0,-73.84577762918018,-0.0,-0.6827375954578664,0.6244300186410524,0.6827375954578664,0.1795119830629843,0.4956293287592445,60.13519569219766,60.5952734595893,44.42835524140577,1.889124317089698
